albfernandez/javadbf,seq,prefix,greedy,time
cowtowncoder/java-uuid-generator,seq,perfect,ge,none
danieldk/dictomaton,par,state-online_detour-prefix,ge,time
eightbitjim/cassette-nibbler,seq,state-online_detour-prefix,greedy,none
f4b6a3/uuid-creator,par,perfect,ge,time
houbb/segment,par,online_detour,greedy,none
houbb/sensitive-word,par,state-online_detour-prefix,ge,none
indeedeng/vowpal-wabbit-java,seq,perfect,greedy,none
mocnik-science/geogrid,par,perfect,greedy,time
octavian-h/time-series-math,par,online_detour,gre,time
sangupta/bloomfilter,par,perfect,greedy,none
wiqer/ef-redis,par,perfect,greedy,none
huaban/jieba-analysis,seq,online_detour
JetBrains/jetCheck,seq,state-online_detour-prefix,gre,none
StarlangSoftware/TurkishMorphologicalAnalysis,seq,online_detour,greedy,none
StarlangSoftware/TurkishPropBank,par,perfect,greedy,none
StarlangSoftware/TurkishSentiNet,par,state,gre,none
###
