project,mop,best
AAA-AA-basic-tools,24.128,15.433
ChannelFinder-javaCFClient,6.263,5.879
GreenButtonAlliance-OpenESPI-ThirdParty-java,21.24,19.575
Grundlefleck-ASM-NonClassloadingExtensions,155.801,58.352
ITArray-automotion-java,50.808,39.287
JetBrains-jetCheck,34.227,13.897
LiveRamp-HyperMinHash-java,211.43,85.564
OWASP-url-classifier,53.769,48.137
RUB-NDS-BurpSSOExtension,6.687,6.152
RokLenarcic-AhoCorasick,185.802,85.572
StarlangSoftware-TurkishMorphologicalAnalysis,153.876,99.082
StarlangSoftware-TurkishPropBank,48.874,32.679
StarlangSoftware-TurkishSentiNet,66.623,23.672
albfernandez-javadbf,35.391,6.612
alexheretic-dynamics,15.576,13.971
bvolpato-inutils4j,8.788,6.706
cheese10yun-spring-jpa-best-practices,99.704,92.853
cowtowncoder-java-uuid-generator,43.613,38.518
dakusui-jcunit,690.083,19.679
danieldk-dictomaton,181.883,104.599
davidmoten-hilbert-curve,26.797,21.03
davidmoten-sparse-hilbert-index,13.262,11.642
dernasherbrezon-jradio,236.895,67.396
eightbitjim-cassette-nibbler,326.01,144.49
f-lab-edu-real-time-delivery-market,73.497,63.565
f4b6a3-uuid-creator,38.464,13.827
flipkart-incubator-databuilderframework,294.709,139.61
fraunhoferfokus-Fuzzino,123.873,87.033
houbb-segment,28.504,24.962
houbb-sensitive-word,294.998,58.759
huaban-jieba-analysis,91.459,6.596
indeedeng-vowpal-wabbit-java,574.173,89.924
jahlborn-jackcess,206.673,180.696
lhncbc-metamaplite,17.404,14.787
mimno-Mallet,884.519,697.056
mocnik-science-geogrid,94.335,29.69
mojohaus-aspectj-maven-plugin,45.609,40.065
mojohaus-license-maven-plugin,23.229,22.025
nonblocking-nonsnapshot-maven-plugin,11.13,8.669
octavian-h-time-series-math,126.616,117.174
palindromicity-simple-syslog,39.409,30.742
pebbleblog-pebble,95.08,49.372
picturesafe-picturesafe-search,34.086,30.366
romix-java-concurrent-hash-trie-map,37.955,34.466
rythmengine-rythmengine,109.927,80.242
sangupta-bloomfilter,30.888,24.27
sbesada-java.math.expression.parser,330.089,11.127
stefano81-dcpabe,46.248,41.546
wiqer-ef-redis,52.939,8.589
wz2cool-mybatis-dynamic-query,26.551,23.061
