houbb-segmentproject,sha,reduced_javamop_violations,reduced_emop_violations,reduced_imop_violations,reduced_partial_javamop_violations,all_javamop_violations,all_emop_violations,all_imop_violations,all_rts_javamop_violations
,54783e78e400feca0f8815b546b48b698e7e42cf,6,3,3,3,3,3,3,3
,8d69c15582370ef2a5cd21bf983d7bbd221d80d1,3,3,3,3,3,0,3,3
,77b02e2d6681d008d3daab3839bf46b018d28a10,3,0,3,3,3,0,3,3
,4960b46c11c2b62620331bcee873d109c5e2f385,0,0,0,0,0,0,0,0
,78fc1d11358e4ca0d5878ae5795b6a0b943c9821,0,0,0,0,0,0,0,0
,6f7fca417c2b3b4d243157a1b1c81aac42b0e48c,0,0,0,0,0,0,0,0
,4be3bb811e7e28bc292c863776b235618021e0f5,0,0,0,0,0,0,0,0
,04729fec3134b5238a0c0d0d439397337e9fd0aa,0,0,0,0,0,0,0,0
,5320774e9ea50777df5e871c02600928acb514d7,0,0,0,0,0,0,0,0
,ec20f2582d77865f27f2013c8dc7806d8bc20f26,0,0,0,0,0,0,0,0
,93b675341873b98048219fa6e855ae137c3ece75,0,0,0,0,0,0,0,0
,754f4eef5c70d55fbc909ac97077a9bd01e06725,0,0,0,0,0,0,0,0
,e588a0a10124cd926b1a445dac9bdeefbbc5dd3d,0,0,0,0,0,0,0,0
,64961b16b892a99475a82287e670cee8796efd47,0,0,0,0,0,0,0,0
,d97a554b386ed9774ba114ad59cd054251264e44,0,0,0,0,0,0,0,0
,077d2213338bffb121f380a2c9ff7c95337689e2,0,0,0,0,0,0,0,0
,bcc0f708fbaf2749ff0e58aeb42415aa31acf2ba,0,0,0,0,0,0,0,0
,298774c797ed2c77c132ea2fe93122577bc58262,0,0,0,0,0,0,0,0
,c82a1004b7db3134a8982ce4429d2ffdbbc2f991,0,0,0,0,0,0,0,0
,0dedb5036b275f9daeb614dc7b8756c0e9cfa2cd,0,0,0,0,0,0,0,0
,3f40f5e3d1177789d9824f0bca001209197e7248,0,0,0,0,0,0,0,0
,4b37147729f42eee98e926af7132a46ee27af18e,0,0,0,0,0,0,0,0
,5147eda5f92eb6abaa3a1c50947f3c8d41e3a6cb,0,0,0,0,0,0,0,0
,e9fe50749ba03f9667f1121ee19326f7ba608a8c,0,0,0,0,0,0,0,0
,251295cc19daf60ad00562da02a834d7b29cd33f,0,0,0,0,0,0,0,0
,534a1511f964ad61bb765f17f2267702a9096475,0,0,0,0,0,0,0,0
,7f2a72340d201becb393ba5e40b56231078b9579,1,1,1,0,1,1,1,1
,61d189fbed3499771e1f83963977b3a4b6e87970,1,1,1,0,1,1,1,1
,763eccb046d377fdd2c043feee3d171140a96771,1,1,1,0,1,1,1,1
,7f2a72340d201becb393ba5e40b56231078b9579,1,1,1,0,1,1,1,1
,61d189fbed3499771e1f83963977b3a4b6e87970,1,1,1,0,1,1,1,1
,763eccb046d377fdd2c043feee3d171140a96771,1,1,1,0,1,1,1,1
,64961b16b892a99475a82287e670cee8796efd47,0,0,0,0,0,0,0,0
,d97a554b386ed9774ba114ad59cd054251264e44,0,0,0,0,0,0,0,0
,077d2213338bffb121f380a2c9ff7c95337689e2,0,0,0,0,0,0,0,0
,bcc0f708fbaf2749ff0e58aeb42415aa31acf2ba,0,0,0,0,0,0,0,0
,298774c797ed2c77c132ea2fe93122577bc58262,0,0,0,0,0,0,0,0
,c82a1004b7db3134a8982ce4429d2ffdbbc2f991,0,0,0,0,0,0,0,0
,0dedb5036b275f9daeb614dc7b8756c0e9cfa2cd,0,0,0,0,0,0,0,0
,3f40f5e3d1177789d9824f0bca001209197e7248,0,0,0,0,0,0,0,0
,4b37147729f42eee98e926af7132a46ee27af18e,0,0,0,0,0,0,0,0
,5147eda5f92eb6abaa3a1c50947f3c8d41e3a6cb,0,0,0,0,0,0,0,0
,e9fe50749ba03f9667f1121ee19326f7ba608a8c,0,0,0,0,0,0,0,0
,251295cc19daf60ad00562da02a834d7b29cd33f,0,0,0,0,0,0,0,0
,534a1511f964ad61bb765f17f2267702a9096475,0,0,0,0,0,0,0,0
,7f2a72340d201becb393ba5e40b56231078b9579,1,1,1,0,1,1,1,1
,61d189fbed3499771e1f83963977b3a4b6e87970,1,1,1,0,1,1,1,1
,763eccb046d377fdd2c043feee3d171140a96771,1,1,1,0,1,1,1,1
