mocnik-science-geogridproject,sha,reduced_javamop_violations,reduced_emop_violations,reduced_imop_violations,reduced_partial_javamop_violations,all_javamop_violations,all_emop_violations,all_imop_violations,all_rts_javamop_violations
,125919c7fcb90009279111b728a67ac0750f4976,0,0,0,0,0,0,0,0
,c90a631b9e586531abef138b9a46211735ca0515,0,0,0,0,0,0,0,0
,81c93f337c297e0007c0864ed2bd396d35fa72fe,0,0,0,0,0,0,0,0
,117c90f621f9d654760f7310b71a338cf7b26a40,0,0,0,0,0,0,0,0
,a2788d728bbd62a119a0ca42d5b6fd6b4ff5896f,0,0,0,0,0,0,0,0
,a267d5ac48e41e76fde82af6014ca42cebea8059,0,0,0,0,0,0,0,0
,c43f6b731772061e2eff13af6ae5bfdbb5bd13cf,0,0,0,0,0,0,0,0
,770247d9c3a8a3dc99cb36de9101e7811af55b47,0,0,0,0,0,0,0,0
,bb957fc2bf755bf9f4ffa866c85a25d6c2cd2e5a,0,0,0,0,0,0,0,0
