project,track time
AAA-AA-basic-tools,41.774
ChannelFinder-javaCFClient,7.377
GreenButtonAlliance-OpenESPI-ThirdParty-java,21.901
Grundlefleck-ASM-NonClassloadingExtensions,302.481
ITArray-automotion-java,62.154
JetBrains-jetCheck,66.609
LiveRamp-HyperMinHash-java,334.019
OWASP-url-classifier,124.04
RUB-NDS-BurpSSOExtension,6.677
RokLenarcic-AhoCorasick,1550.051
StarlangSoftware-TurkishMorphologicalAnalysis,372.62
StarlangSoftware-TurkishPropBank,157.535
StarlangSoftware-TurkishSentiNet,291.669
albfernandez-javadbf,35.217
alexheretic-dynamics,19.855
bvolpato-inutils4j,8.828
cheese10yun-spring-jpa-best-practices,104.205
cowtowncoder-java-uuid-generator,159.429
dakusui-jcunit,2273.078
danieldk-dictomaton,375.388
davidmoten-hilbert-curve,76.369
davidmoten-sparse-hilbert-index,16.641
dernasherbrezon-jradio,343.548
eightbitjim-cassette-nibbler,1576.737
f-lab-edu-real-time-delivery-market,66.759
f4b6a3-uuid-creator,40.825
flipkart-incubator-databuilderframework,517.098
fraunhoferfokus-Fuzzino,1279.332
houbb-segment,70.866
houbb-sensitive-word,1417.137
huaban-jieba-analysis,174.457
indeedeng-vowpal-wabbit-java,3350.984
jahlborn-jackcess,849.193
lhncbc-metamaplite,17.091
mimno-Mallet,2423.171
mocnik-science-geogrid,168.689
mojohaus-aspectj-maven-plugin,108.527
mojohaus-license-maven-plugin,24.098
nonblocking-nonsnapshot-maven-plugin,12.135
octavian-h-time-series-math,393.685
palindromicity-simple-syslog,72.667
pebbleblog-pebble,97.903
picturesafe-picturesafe-search,33.265
romix-java-concurrent-hash-trie-map,153.678
rythmengine-rythmengine,124.848
sangupta-bloomfilter,96.35
sbesada-java.math.expression.parser,3623.74
stefano81-dcpabe,48.937
wiqer-ef-redis,211.405
wz2cool-mybatis-dynamic-query,26.602
