project,both_seq,all_seq,reduced_seq
AAA-AA-basic-tools,41,0,0
ChannelFinder-javaCFClient,121,0,0
GreenButtonAlliance-OpenESPI-ThirdParty-java,266,1,14
Grundlefleck-ASM-NonClassloadingExtensions,40897,1,0
ITArray-automotion-java,2926,444,0
JetBrains-jetCheck,1133,492,0
LiveRamp-HyperMinHash-java,72,0,0
OWASP-url-classifier,9127,1798,1804
RUB-NDS-BurpSSOExtension,48,1,1
RokLenarcic-AhoCorasick,15,64,0
StarlangSoftware-TurkishMorphologicalAnalysis,22852,0,0
StarlangSoftware-TurkishPropBank,93,0,0
StarlangSoftware-TurkishSentiNet,31,0,0
albfernandez-javadbf,271,0,0
alexheretic-dynamics,3582,2,0
bvolpato-inutils4j,82,0,0
cheese10yun-spring-jpa-best-practices,3584,107,2
cowtowncoder-java-uuid-generator,128,0,0
dakusui-jcunit,6396,894,1
danieldk-dictomaton,13117,77,0
davidmoten-hilbert-curve,258,0,0
davidmoten-sparse-hilbert-index,211,5,2
dernasherbrezon-jradio,7271,7,5
eightbitjim-cassette-nibbler,30360,0,0
f-lab-edu-real-time-delivery-market,1103,0,0
f4b6a3-uuid-creator,202,0,0
flipkart-incubator-databuilderframework,1441,8,8
fraunhoferfokus-Fuzzino,6977,9,2
houbb-segment,320,0,0
houbb-sensitive-word,308,0,0
huaban-jieba-analysis,1039,53,46
indeedeng-vowpal-wabbit-java,116,52,0
jahlborn-jackcess,75564,4,16
lhncbc-metamaplite,1575,39,0
mimno-Mallet,1336,21,0
mocnik-science-geogrid,63,0,0
mojohaus-aspectj-maven-plugin,2338,29217,17547
mojohaus-license-maven-plugin,547,0,0
nonblocking-nonsnapshot-maven-plugin,364,1,8
octavian-h-time-series-math,541891,513,0
palindromicity-simple-syslog,2458,0,0
pebbleblog-pebble,587,2,4
picturesafe-picturesafe-search,779,21,26
romix-java-concurrent-hash-trie-map,84,2163,2167
rythmengine-rythmengine,6021,16,10
sangupta-bloomfilter,28,0,0
sbesada-java.math.expression.parser,135,0,0
stefano81-dcpabe,6946,62,0
wiqer-ef-redis,77,0,0
wz2cool-mybatis-dynamic-query,937,0,0
